word,pos
pack,nouns
seat,nouns
Pilot,nouns
walk,nouns
classes,nouns
suit,nouns
crack,nouns
fringe,nouns
sleeper,nouns
space,nouns
reversal,nouns
rock,nouns
twist,nouns
case,nouns
scene,nouns
style,nouns
shade,nouns
fall,nouns
Mans,nouns
office,nouns
strike,nouns
test,nouns
check,nouns
beat,nouns
pick,nouns
error,nouns
hammer,nouns
tender,nouns
colors,nouns
nip,nouns
lock,nouns
high,nouns
times,nouns
shaft,nouns
stuff,nouns
rupee,nouns
brand,nouns
guide,nouns
blue,nouns
passing,nouns
contact,nouns
club,nouns
claim,nouns
node,nouns
Gum,nouns
escape,nouns
picture,nouns
score,nouns
screen,nouns
glass,nouns
Net,nouns
tap,nouns
record,nouns
Nip,nouns
men,nouns
weber,nouns
whiting,nouns
brace,nouns
ring,nouns
assembly,nouns
grey,nouns
storage,nouns
circus,nouns
caper,nouns
balance,nouns
dash,nouns
saddle,nouns
band,nouns
dogs,nouns
State,nouns
register,nouns
bell,nouns
charge,nouns
crying,nouns
button,nouns
house,nouns
figure,nouns
descent,nouns
catch,nouns
approach,nouns
proof,nouns
horn,nouns
drive,nouns
grace,nouns
trust,nouns
squeeze,nouns
spark,nouns
fault,nouns
floor,nouns
exposure,nouns
Mole,nouns
job,nouns
clips,nouns
Wind,nouns
spiral,nouns
water,nouns
topper,nouns
tramp,nouns
activity,nouns
hell,nouns
knot,nouns
power,nouns
tangs,nouns
Grace,nouns
boss,nouns
display,nouns
fellow,nouns
conflict,nouns
state,nouns
page,nouns
touch,nouns
gray,nouns
process,nouns
passage,nouns
stroke,nouns
shilling,nouns
ways,nouns
muller,nouns
paper,nouns
Harris,nouns
day,nouns
monitor,nouns
Shape,nouns
jump,nouns
Price,nouns
header,nouns
dip,nouns
second,nouns
creation,nouns
north,nouns
counter,nouns
pinch,nouns
scratch,nouns
book,nouns
regard,nouns
rod,nouns
fire,nouns
column,nouns
sound,nouns
turnout,nouns
caller,nouns
boot,nouns
sucker,nouns
law,nouns
attack,nouns
medium,nouns
crab,nouns
matrix,nouns
burning,nouns
reaction,nouns
darkness,nouns
anteater,nouns
business,nouns
family,nouns
circle,nouns
place,nouns
limit,nouns
kick,nouns
nut,nouns
staff,nouns
wedge,nouns
trade,nouns
formulae,nouns
tone,nouns
shape,nouns
roll,nouns
queen,nouns
Grant,nouns
word,nouns
bar,nouns
Gregory,nouns
Bill,nouns
bag,nouns
fin,nouns
days,nouns
lewis,nouns
wall,nouns
bed,nouns
sheet,nouns
crow,nouns
wash,nouns
cola,nouns
speech,nouns
product,nouns
mass,nouns
love,nouns
baby,nouns
cut,nouns
rack,nouns
shower,nouns
crop,nouns
capital,nouns
axis,nouns
march,nouns
beam,nouns
bit,nouns
wind,nouns
plug,nouns
grip,nouns
matter,nouns
pack,verbs
seat,verbs
douse,verbs
walk,verbs
Ran,verbs
plumed,verbs
spatting,verbs
plaster,verbs
spelt,verbs
crack,verbs
relieved,verbs
sinking,verbs
shaven,verbs
saving,verbs
watched,verbs
clean,verbs
knock,verbs
hooked,verbs
specify,verbs
walking,verbs
deform,verbs
twist,verbs
was,verbs
brushed,verbs
sold,verbs
fall,verbs
